2025-12-23 16:27:55,486 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:27:55,487 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:28:25,169 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:28:25,169 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:28:56,062 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:28:56,062 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:29:45,930 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:29:45,933 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:34:27,201 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:34:27,202 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:36:32,992 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:36:32,993 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:36:36,836 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-23 16:36:36,836 | INFO | DynamicDashboardTest | Test completed: fusion tab click
2025-12-23 16:36:58,577 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:36:58,579 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:37:02,290 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-23 16:37:02,290 | INFO | DynamicDashboardTest | Test completed: fusion tab click
2025-12-23 16:37:29,790 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:37:29,792 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:38:19,906 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:38:19,907 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:38:23,689 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-23 16:38:23,689 | INFO | DynamicDashboardTest | Test completed: fusion tab click
2025-12-23 16:38:38,135 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:38:38,136 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:39:23,576 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:39:23,578 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:40:07,133 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:40:07,134 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:40:38,838 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:40:38,839 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:42:00,168 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:42:00,169 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:56:21,936 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 16:56:21,936 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 16:56:25,854 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-23 16:56:25,854 | INFO | DynamicDashboardTest | Test completed: fusion tab click
2025-12-23 17:00:22,963 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 17:00:22,963 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:01:30,566 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 17:01:30,567 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:02:26,114 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 17:02:26,115 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:02:29,921 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-23 17:02:29,921 | INFO | DynamicDashboardTest | Test completed: fusion tab click
2025-12-23 17:05:41,673 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 17:05:41,674 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:06:53,323 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 17:06:53,325 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:07:42,237 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 17:07:42,238 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:08:50,730 | INFO | DynamicDashboardTest | Test started: fusion tab click
2025-12-23 17:08:50,731 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:08:54,790 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-23 17:08:54,790 | INFO | DynamicDashboardTest | Test completed: fusion tab click
2025-12-23 17:09:19,900 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-23 17:09:19,900 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-23 17:09:23,831 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-23 17:09:23,831 | INFO | FusionDashboardTest | Test completed: fusion tab click
