2026-02-05 11:19:00,803 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 11:19:03,915 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 12:54:49,359 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 12:54:52,243 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 12:55:52,304 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 12:55:55,191 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 12:59:15,387 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 12:59:18,186 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:03:29,132 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:03:32,013 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:04:27,103 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:04:29,937 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:09:44,249 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:09:47,067 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:12:33,270 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:12:36,375 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:15:11,119 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:15:13,941 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:16:46,911 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:16:49,714 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:17:20,230 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:17:23,095 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:18:04,389 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:18:07,255 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:18:36,440 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:18:39,254 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:20:10,519 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:20:13,286 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 13:34:28,549 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 13:34:31,334 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 14:03:49,899 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 14:03:52,714 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-02-05 14:04:53,355 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-02-05 14:04:56,129 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
