2025-12-24 12:34:54,125 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 12:34:54,126 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 12:35:22,031 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 12:35:22,031 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 12:36:08,569 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 12:36:08,570 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 12:37:03,380 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 12:37:03,381 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 12:39:18,455 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 12:39:18,456 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 12:39:22,292 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2025-12-24 12:39:22,292 | INFO | FusionDashboardTest | Test completed: fusion tab click
2025-12-24 12:41:09,169 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 12:41:09,170 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 12:49:14,224 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 12:49:14,225 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 13:08:55,037 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 13:08:55,038 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 13:10:38,493 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 13:10:38,494 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 13:12:23,532 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 13:12:23,533 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 13:13:18,274 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 13:13:18,275 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 13:14:04,213 | INFO | FusionDashboardTest | Test started: fusion tab click
2025-12-24 13:14:04,214 | INFO | FusionAnalysisPage | Clicking on fusion tab
2025-12-24 13:14:07,927 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
