2026-01-03 10:25:21,719 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 10:25:21,720 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 10:33:40,966 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 10:33:40,967 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 10:35:06,822 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 10:35:06,823 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 10:35:11,054 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 10:35:11,055 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 10:35:33,744 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 10:35:33,745 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 10:36:05,934 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 10:36:05,936 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 10:36:10,482 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 10:36:10,482 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 10:49:54,878 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 10:49:54,879 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:10:38,445 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:10:38,448 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:13:24,731 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:13:24,733 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:14:06,591 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:14:06,594 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:14:45,430 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:14:45,431 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:14:50,634 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 12:14:50,634 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 12:18:33,165 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:18:33,166 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:19:55,301 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:19:55,302 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:29:33,614 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:29:33,616 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:29:38,571 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 12:29:38,572 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 12:32:39,387 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:32:39,388 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:33:38,295 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:33:38,296 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 12:37:22,535 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 12:37:22,536 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:03:45,512 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:03:45,513 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:08:02,915 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:08:02,916 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:08:37,516 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:08:37,517 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:09:10,883 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:09:10,884 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:09:43,348 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:09:43,349 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:10:49,946 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:10:49,947 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:11:47,643 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:11:47,644 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:11:52,313 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 13:11:52,313 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 13:18:35,140 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:18:35,144 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:25:23,320 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:25:23,321 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:32:08,060 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:32:08,068 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:32:12,866 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 13:32:12,867 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 13:32:25,819 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:32:25,821 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:32:58,113 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:32:58,114 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:33:30,813 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:33:30,814 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:36:03,675 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:36:03,676 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:38:45,456 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:38:45,457 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 13:38:50,987 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 13:38:50,988 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 13:39:02,700 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 13:39:02,701 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:18:47,791 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 15:18:47,792 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:19:58,560 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 15:19:58,561 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:20:03,145 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 15:20:03,146 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 15:20:17,684 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 15:20:17,685 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:21:03,547 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 15:21:03,548 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:21:36,665 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 15:21:36,667 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:21:41,148 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 15:21:41,148 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 15:21:52,114 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 15:21:52,115 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:21:56,495 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 15:21:56,495 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 15:32:12,221 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 15:32:12,222 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 15:32:16,680 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 15:32:16,680 | INFO | FusionDashboardTest | Test completed: fusion tab click
2026-01-03 16:35:06,958 | INFO | FusionDashboardTest | Test started: fusion tab click
2026-01-03 16:35:06,962 | INFO | FusionAnalysisPage | Clicking on fusion tab
2026-01-03 16:35:12,326 | INFO | FusionAnalysisPage | Clicked fusion tab successfully
2026-01-03 16:35:12,327 | INFO | FusionDashboardTest | Test completed: fusion tab click
